panel_code,n_neighbors,neighbor_codes
47170,6,"[47730, 47900, 47750, 47760, 47920, 47210]"
47190,5,"[27720, 47150, 47850, 47730, 47250]"
47210,5,"[43800, 47170, 47900, 47920, 51750]"
47230,7,"[27140, 27720, 47110, 47130, 47820, 47290, 47750]"
47250,9,"[43720, 43730, 43740, 43760, 47150, 47190, 47730, 47900, 47280]"
47280,6,"[43130, 43150, 43760, 43800, 47250, 47900]"
47290,5,"[27140, 27260, 27710, 47230, 47820]"
47730,6,"[27720, 47170, 47190, 47250, 47900, 47750]"
47750,7,"[27720, 47110, 47170, 47230, 47730, 47770, 47760]"
47760,5,"[47170, 47750, 47770, 47930, 47920]"
47770,4,"[47110, 47750, 47760, 47930]"
47820,7,"[27710, 31710, 47130, 47230, 47290, 48270, 48740]"
47830,5,"[27290, 27710, 48740, 48890, 47840]"
47840,6,"[27710, 47150, 47830, 48890, 48880, 47850]"
47850,7,"[27140, 27230, 27710, 27720, 47150, 47190, 47840]"
47900,6,"[43800, 47170, 47210, 47250, 47280, 47730]"
47920,7,"[47170, 47210, 47760, 47930, 51190, 51750, 51230]"
47930,5,"[47760, 47770, 47920, 51230, 47940]"
47940,1,[47930]
48110,7,"[26440, 48820, 48170, 48730, 48250, 48270, 48740]"
48170,7,"[48110, 48820, 48240, 48850, 48730, 48720, 48860]"
48220,2,"[48820, 48310]"
48240,4,"[48170, 48840, 48820, 48850]"
48250,5,"[26320, 26440, 48110, 48330, 48270]"
48270,6,"[31710, 47820, 48110, 48250, 48330, 48740]"
48310,1,[48220]
48330,6,"[26320, 26410, 26710, 31710, 48250, 48270]"
48720,5,"[48170, 48730, 48860, 48740, 48890]"
48730,4,"[48110, 48170, 48720, 48740]"
48740,8,"[27710, 47820, 47830, 48110, 48270, 48720, 48730, 48890]"
48820,4,"[48110, 48170, 48220, 48240]"
48840,1,[48240]
48850,7,"[46230, 46730, 48170, 48240, 52190, 48860, 48870]"
48860,6,"[48170, 48720, 48850, 48870, 48890, 48880]"
48870,5,"[48850, 48860, 52190, 52740, 48880]"
48880,7,"[47150, 47840, 48860, 48870, 52740, 52730, 48890]"
48890,6,"[47830, 47840, 48720, 48740, 48860, 48880]"
50110,1,[50130]
50130,1,[50110]
51110,5,"[41820, 51720, 51790, 51810, 51800]"
51130,6,"[41670, 41830, 43130, 43150, 51750, 51730]"
51150,5,"[51760, 51720, 51770, 51170, 51830]"
51170,3,"[51150, 51230, 51770]"
51190,4,"[47920, 51750, 51230, 51770]"
51210,3,"[51830, 51810, 51820]"
51230,5,"[47920, 47930, 51170, 51190, 51770]"
